Endpoint&Accuracy&Precision&Recall&F1 score&AUC ROC
NR.AhR&71,1&29,4&31,3&30,3&56,2
NR.AR&92,7&44,4&47,1&45,7&71,5
NR.AR.LBD&93,8&33,3&15,4&21,1&56,8
NR.Aromatase&88,1&42,9&42,9&42,9&68,1
NR.ER&70,6&22,9&29,0&25,6&54,2
NR.ER.LBD&86,4&9,5&11,8&10,5&51,8
NR.PPAR.gamma&94,2&0,0&0,0&0,0&48,6
SR.ARE&74,1&27,8&25,0&26,3&55,1
SR.ATAD5&90,2&0,0&0,0&0,0&47,3
SR.HSE&90,5&8,3&7,7&8,0&51,4
SR.MMP&72,4&26,3&26,3&26,3&54,7
SR.p53&86,0&5,6&5,6&5,6&49,0
